epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,4,,,0.5625,0.6889814138412476,,
0,9,,,0.625,0.6670639514923096,,
0,14,,,0.875,0.6253107786178589,,
0,19,,,0.9375,0.5981148481369019,,
0,24,,,0.75,0.6302738189697266,,
0,29,,,0.5625,0.687087893486023,,
0,34,,,0.5,0.7151452302932739,,
0,39,,,0.875,0.5708862543106079,,
0,44,,,0.75,0.5912352800369263,,
0,49,,,0.625,0.6528588533401489,,
0,54,,,0.6875,0.5962772369384766,,
0,59,,,0.5,0.7453770637512207,,
0,64,,,0.8125,0.5136316418647766,,
0,69,,,0.8125,0.5628675222396851,,
0,74,,,0.875,0.4996149241924286,,
0,79,,,0.6875,0.6692314147949219,,
0,84,,,0.875,0.49484696984291077,,
0,89,,,0.625,0.676321268081665,,
0,94,,,0.8125,0.5382205843925476,,
0,99,,,0.6875,0.6459129452705383,,
0,104,,,0.8125,0.533170223236084,,
0,109,,,0.5,0.8073351383209229,,
0,114,,,0.8125,0.5400583744049072,,
0,119,,,0.75,0.6031345129013062,,
0,124,,,0.875,0.4556215703487396,,
0,129,,,0.5625,0.7024263143539429,,
0,134,,,0.5,0.7701737880706787,,
0,139,,,0.5625,0.7453130483627319,,
0,144,,,0.5625,0.708963930606842,,
0,149,,,0.625,0.7224482297897339,,
0,154,,,0.6875,0.6264265775680542,,
0,159,,,0.6875,0.6228569149971008,,
0,164,,,0.5,0.7765039205551147,,
0,169,,,0.625,0.6560166478157043,,
0,174,,,0.625,0.6596269011497498,,
0,174,,,,,0.7133333086967468,0.600176215171814
1,175,0.7149999737739563,0.5982467532157898,,,,
